2024-11-03 21:06:11,481 - INFO - Процессор: 22.3%, Видео карта: [0.0], Оперативка: 36.1%, Использование диска: 72.2%
2024-11-03 21:06:17,531 - INFO - Процессор: 20.6%, Видео карта: [4.0], Оперативка: 35.9%, Использование диска: 72.2%
2024-11-03 21:06:23,582 - INFO - Процессор: 21.3%, Видео карта: [12.0], Оперативка: 35.9%, Использование диска: 72.2%
2024-11-03 21:06:29,637 - INFO - Процессор: 25.5%, Видео карта: [1.0], Оперативка: 35.9%, Использование диска: 72.2%
2024-11-03 21:06:35,684 - INFO - Процессор: 19.6%, Видео карта: [0.0], Оперативка: 36.3%, Использование диска: 72.2%
2024-11-03 21:06:41,731 - INFO - Процессор: 22.0%, Видео карта: [1.0], Оперативка: 36.3%, Использование диска: 72.2%
2024-11-03 21:06:47,790 - INFO - Процессор: 20.0%, Видео карта: [0.0], Оперативка: 36.4%, Использование диска: 72.2%
2024-11-03 21:06:53,838 - INFO - Процессор: 20.5%, Видео карта: [1.0], Оперативка: 36.3%, Использование диска: 72.2%
2024-11-03 21:06:59,885 - INFO - Процессор: 19.0%, Видео карта: [0.0], Оперативка: 36.3%, Использование диска: 72.2%
2024-11-03 21:07:05,930 - INFO - Процессор: 25.2%, Видео карта: [2.0], Оперативка: 36.3%, Использование диска: 72.2%
2024-11-03 21:07:11,980 - INFO - Процессор: 29.6%, Видео карта: [1.0], Оперативка: 36.2%, Использование диска: 72.2%
2024-11-03 21:07:18,027 - INFO - Процессор: 18.3%, Видео карта: [0.0], Оперативка: 36.1%, Использование диска: 72.2%
2024-11-03 21:07:24,082 - INFO - Процессор: 24.8%, Видео карта: [1.0], Оперативка: 36.0%, Использование диска: 72.2%
2024-11-03 21:07:30,135 - INFO - Процессор: 22.9%, Видео карта: [2.0], Оперативка: 36.0%, Использование диска: 72.2%
2024-11-03 21:07:38,630 - INFO - Процессор: 19.4%, Видео карта: [12.0], Оперативка: 36.4%, Использование диска: 72.2%
2024-11-03 21:07:45,741 - INFO - Процессор: 20.3%, Видео карта: [0.0], Оперативка: 36.4%, Использование диска: 72.2%
2024-11-03 21:07:52,865 - INFO - Процессор: 20.8%, Видео карта: [1.0], Оперативка: 36.4%, Использование диска: 72.2%
2024-11-03 21:07:59,982 - INFO - Процессор: 21.7%, Видео карта: [16.0], Оперативка: 36.4%, Использование диска: 72.2%
2024-11-03 21:08:07,094 - INFO - Процессор: 21.8%, Видео карта: [10.0], Оперативка: 36.2%, Использование диска: 72.2%
2024-11-03 21:08:14,217 - INFO - Процессор: 21.2%, Видео карта: [7.000000000000001], Оперативка: 36.0%, Использование диска: 72.2%
2024-11-03 21:08:21,314 - INFO - Процессор: 21.3%, Видео карта: [8.0], Оперативка: 36.0%, Использование диска: 72.2%
2024-11-03 21:08:28,411 - INFO - Процессор: 20.2%, Видео карта: [7.000000000000001], Оперативка: 36.0%, Использование диска: 72.2%
2024-11-03 21:08:35,509 - INFO - Процессор: 26.7%, Видео карта: [0.0], Оперативка: 36.5%, Использование диска: 72.2%
2024-11-03 21:09:24,159 - INFO - Процессор: 21.3%, Видео карта: [5.0], Оперативка: 36.0%, Использование диска: 72.2%
2024-11-03 21:09:31,266 - INFO - Процессор: 26.9%, Видео карта: [6.0], Оперативка: 36.3%, Использование диска: 72.2%
2024-11-03 21:09:38,377 - INFO - Процессор: 21.1%, Видео карта: [7.000000000000001], Оперативка: 36.8%, Использование диска: 72.2%
2024-11-03 21:09:45,496 - INFO - Процессор: 23.8%, Видео карта: [10.0], Оперативка: 36.6%, Использование диска: 72.2%
2024-11-03 21:09:54,836 - INFO - Процессор: 20.4%, Видео карта: [1.0], Оперативка: 36.6%, Использование диска: 72.2%
2024-11-03 21:10:01,952 - INFO - Процессор: 19.6%, Видео карта: [7.000000000000001], Оперативка: 36.6%, Использование диска: 72.2%
2024-11-03 21:10:09,060 - INFO - Процессор: 19.0%, Видео карта: [0.0], Оперативка: 36.3%, Использование диска: 72.2%
2024-11-03 21:10:16,160 - INFO - Процессор: 21.1%, Видео карта: [10.0], Оперативка: 36.2%, Использование диска: 72.2%
2024-11-03 21:10:23,252 - INFO - Процессор: 22.5%, Видео карта: [2.0], Оперативка: 36.2%, Использование диска: 72.2%
2024-11-03 21:10:30,355 - INFO - Процессор: 19.4%, Видео карта: [15.0], Оперативка: 36.0%, Использование диска: 72.2%
2024-11-03 21:10:37,475 - INFO - Процессор: 38.6%, Видео карта: [22.0], Оперативка: 36.6%, Использование диска: 72.2%
2024-11-03 21:10:44,592 - INFO - Процессор: 44.8%, Видео карта: [25.0], Оперативка: 36.7%, Использование диска: 72.2%
2024-11-03 21:10:51,713 - INFO - Процессор: 44.2%, Видео карта: [6.0], Оперативка: 38.8%, Использование диска: 72.2%
2024-11-03 21:10:58,825 - INFO - Процессор: 25.1%, Видео карта: [5.0], Оперативка: 39.3%, Использование диска: 72.2%
2024-11-03 21:11:05,951 - INFO - Процессор: 29.0%, Видео карта: [12.0], Оперативка: 39.4%, Использование диска: 72.2%
2024-11-03 21:11:13,069 - INFO - Процессор: 41.8%, Видео карта: [3.0], Оперативка: 51.5%, Использование диска: 72.2%
2024-11-03 21:11:20,184 - INFO - Процессор: 41.2%, Видео карта: [20.0], Оперативка: 56.2%, Использование диска: 72.2%
2024-11-03 21:11:27,312 - INFO - Процессор: 45.7%, Видео карта: [16.0], Оперативка: 57.7%, Использование диска: 72.2%
2024-11-03 21:11:34,440 - INFO - Процессор: 49.7%, Видео карта: [37.0], Оперативка: 54.2%, Использование диска: 72.2%
2024-11-03 21:11:41,561 - INFO - Процессор: 30.7%, Видео карта: [39.0], Оперативка: 54.7%, Использование диска: 72.2%
2024-11-03 21:11:48,689 - INFO - Процессор: 27.4%, Видео карта: [3.0], Оперативка: 54.9%, Использование диска: 72.3%
2024-11-03 21:11:55,787 - INFO - Процессор: 20.9%, Видео карта: [3.0], Оперативка: 51.0%, Использование диска: 72.3%
2024-11-03 21:12:02,910 - INFO - Процессор: 24.0%, Видео карта: [30.0], Оперативка: 39.6%, Использование диска: 72.3%
2024-11-03 21:12:10,019 - INFO - Процессор: 20.6%, Видео карта: [27.0], Оперативка: 38.8%, Использование диска: 72.3%
2024-11-03 21:12:17,140 - INFO - Процессор: 23.0%, Видео карта: [18.0], Оперативка: 38.7%, Использование диска: 72.3%
2024-11-03 21:12:24,259 - INFO - Процессор: 20.5%, Видео карта: [21.0], Оперативка: 38.8%, Использование диска: 72.3%
2024-11-03 21:12:31,386 - INFO - Процессор: 23.7%, Видео карта: [22.0], Оперативка: 38.8%, Использование диска: 72.3%
2024-11-03 21:12:38,489 - INFO - Процессор: 31.5%, Видео карта: [24.0], Оперативка: 39.3%, Использование диска: 72.3%
2024-11-03 21:12:45,607 - INFO - Процессор: 24.3%, Видео карта: [2.0], Оперативка: 39.2%, Использование диска: 72.3%
2024-11-03 21:12:52,725 - INFO - Процессор: 20.4%, Видео карта: [41.0], Оперативка: 39.2%, Использование диска: 72.2%
2024-11-03 21:12:59,849 - INFO - Процессор: 28.4%, Видео карта: [45.0], Оперативка: 39.7%, Использование диска: 72.2%
2024-11-03 21:13:06,988 - INFO - Процессор: 42.2%, Видео карта: [5.0], Оперативка: 45.6%, Использование диска: 72.2%
2024-11-03 21:13:14,113 - INFO - Процессор: 58.9%, Видео карта: [9.0], Оперативка: 54.7%, Использование диска: 72.2%
2024-11-03 21:13:21,239 - INFO - Процессор: 46.7%, Видео карта: [20.0], Оперативка: 57.4%, Использование диска: 72.2%
2024-11-03 21:13:28,363 - INFO - Процессор: 32.0%, Видео карта: [25.0], Оперативка: 54.4%, Использование диска: 72.2%
2024-11-03 21:13:35,517 - INFO - Процессор: 58.6%, Видео карта: [28.999999999999996], Оперативка: 57.0%, Использование диска: 72.2%
2024-11-03 21:13:42,648 - INFO - Процессор: 58.8%, Видео карта: [86.0], Оперативка: 58.5%, Использование диска: 72.2%
2024-11-03 21:13:49,785 - INFO - Процессор: 53.5%, Видео карта: [83.0], Оперативка: 58.4%, Использование диска: 72.2%
2024-11-03 21:13:56,908 - INFO - Процессор: 53.2%, Видео карта: [80.0], Оперативка: 58.4%, Использование диска: 72.2%
2024-11-03 21:14:04,034 - INFO - Процессор: 51.0%, Видео карта: [79.0], Оперативка: 58.5%, Использование диска: 72.2%
2024-11-03 21:14:11,157 - INFO - Процессор: 47.5%, Видео карта: [80.0], Оперативка: 58.3%, Использование диска: 72.2%
2024-11-03 21:14:18,283 - INFO - Процессор: 53.8%, Видео карта: [78.0], Оперативка: 58.1%, Использование диска: 72.2%
2024-11-03 21:14:25,412 - INFO - Процессор: 50.8%, Видео карта: [79.0], Оперативка: 57.9%, Использование диска: 72.2%
2024-11-03 21:14:32,516 - INFO - Процессор: 45.3%, Видео карта: [46.0], Оперативка: 50.8%, Использование диска: 72.2%
2024-11-03 21:14:39,644 - INFO - Процессор: 50.6%, Видео карта: [47.0], Оперативка: 51.1%, Использование диска: 72.2%
2024-11-03 21:14:46,750 - INFO - Процессор: 44.9%, Видео карта: [46.0], Оперативка: 51.0%, Использование диска: 72.2%
2024-11-03 21:14:53,850 - INFO - Процессор: 44.9%, Видео карта: [42.0], Оперативка: 50.8%, Использование диска: 72.2%
2024-11-03 21:15:00,961 - INFO - Процессор: 54.0%, Видео карта: [78.0], Оперативка: 51.0%, Использование диска: 72.2%
2024-11-03 21:15:08,064 - INFO - Процессор: 43.7%, Видео карта: [81.0], Оперативка: 51.0%, Использование диска: 72.2%
2024-11-03 21:15:15,181 - INFO - Процессор: 54.9%, Видео карта: [79.0], Оперативка: 50.9%, Использование диска: 72.2%
2024-11-03 21:15:22,291 - INFO - Процессор: 49.4%, Видео карта: [78.0], Оперативка: 50.8%, Использование диска: 72.2%
2024-11-03 21:15:29,388 - INFO - Процессор: 51.0%, Видео карта: [78.0], Оперативка: 50.8%, Использование диска: 72.2%
2024-11-03 21:15:36,497 - INFO - Процессор: 48.6%, Видео карта: [77.0], Оперативка: 50.8%, Использование диска: 72.2%
2024-11-03 21:15:43,623 - INFO - Процессор: 55.9%, Видео карта: [76.0], Оперативка: 50.1%, Использование диска: 72.2%
2024-11-03 21:15:50,732 - INFO - Процессор: 44.0%, Видео карта: [83.0], Оперативка: 46.3%, Использование диска: 72.2%
2024-11-03 21:15:57,827 - INFO - Процессор: 47.5%, Видео карта: [39.0], Оперативка: 46.0%, Использование диска: 72.2%
2024-11-03 21:16:04,953 - INFO - Процессор: 31.1%, Видео карта: [5.0], Оперативка: 53.7%, Использование диска: 72.2%
2024-11-03 21:16:12,063 - INFO - Процессор: 26.6%, Видео карта: [21.0], Оперативка: 53.6%, Использование диска: 72.2%
2024-11-03 21:16:19,195 - INFO - Процессор: 36.8%, Видео карта: [9.0], Оперативка: 50.1%, Использование диска: 72.2%
2024-11-03 21:16:26,361 - INFO - Процессор: 35.4%, Видео карта: [22.0], Оперативка: 51.1%, Использование диска: 73.4%
2024-11-03 21:16:33,484 - INFO - Процессор: 24.2%, Видео карта: [46.0], Оперативка: 33.8%, Использование диска: 72.2%
2024-11-03 21:16:40,610 - INFO - Процессор: 38.3%, Видео карта: [31.0], Оперативка: 31.5%, Использование диска: 72.2%
2024-11-03 21:16:47,733 - INFO - Процессор: 23.1%, Видео карта: [18.0], Оперативка: 31.6%, Использование диска: 72.2%
2024-11-03 21:16:54,830 - INFO - Процессор: 20.7%, Видео карта: [38.0], Оперативка: 31.5%, Использование диска: 72.2%
2024-11-03 21:17:01,941 - INFO - Процессор: 20.5%, Видео карта: [17.0], Оперативка: 31.5%, Использование диска: 72.2%
2024-11-03 21:17:09,051 - INFO - Процессор: 19.8%, Видео карта: [50.0], Оперативка: 31.4%, Использование диска: 72.2%
2024-11-03 21:17:16,176 - INFO - Процессор: 18.9%, Видео карта: [21.0], Оперативка: 31.1%, Использование диска: 72.2%
2024-11-03 21:17:23,315 - INFO - Процессор: 19.6%, Видео карта: [36.0], Оперативка: 31.1%, Использование диска: 72.2%
2024-11-03 21:17:30,448 - INFO - Процессор: 19.0%, Видео карта: [32.0], Оперативка: 31.1%, Использование диска: 72.2%
2024-11-03 21:17:37,548 - INFO - Процессор: 20.1%, Видео карта: [22.0], Оперативка: 31.1%, Использование диска: 72.2%
2024-11-03 21:17:44,674 - INFO - Процессор: 28.5%, Видео карта: [1.0], Оперативка: 31.4%, Использование диска: 72.2%
2024-11-07 11:12:29,538 - INFO - Процессор: 10.9%, Видео карта: [0.0], Оперативка: 29.0%, Использование диска: 32.3%
2024-11-07 11:12:36,636 - INFO - Процессор: 8.9%, Видео карта: [0.0], Оперативка: 28.7%, Использование диска: 32.3%
2024-11-07 11:12:43,736 - INFO - Процессор: 10.4%, Видео карта: [1.0], Оперативка: 28.4%, Использование диска: 32.3%
2024-11-07 11:12:50,833 - INFO - Процессор: 10.1%, Видео карта: [0.0], Оперативка: 28.2%, Использование диска: 32.3%
2024-11-07 11:12:57,935 - INFO - Процессор: 13.4%, Видео карта: [7.000000000000001], Оперативка: 28.1%, Использование диска: 32.3%
2024-11-07 11:13:05,030 - INFO - Процессор: 10.9%, Видео карта: [8.0], Оперативка: 28.3%, Использование диска: 32.3%
2024-11-07 11:13:12,132 - INFO - Процессор: 9.4%, Видео карта: [8.0], Оперативка: 28.2%, Использование диска: 32.3%
2024-11-08 18:53:46,075 - INFO - Процессор: 6.1%, Видео карта: [10.0], Оперативка: 30.8%, Использование диска: 31.5%
2024-11-08 18:53:53,183 - INFO - Процессор: 4.2%, Видео карта: [15.0], Оперативка: 31.1%, Использование диска: 31.5%
2024-11-08 18:54:00,292 - INFO - Процессор: 5.1%, Видео карта: [25.0], Оперативка: 30.2%, Использование диска: 31.5%
2024-11-08 18:54:07,405 - INFO - Процессор: 1.7%, Видео карта: [23.0], Оперативка: 30.1%, Использование диска: 31.5%
2024-11-08 18:54:14,501 - INFO - Процессор: 2.9%, Видео карта: [23.0], Оперативка: 29.9%, Использование диска: 31.5%
2024-11-08 18:54:21,604 - INFO - Процессор: 5.0%, Видео карта: [25.0], Оперативка: 29.8%, Использование диска: 31.5%
2024-11-08 18:54:28,733 - INFO - Процессор: 21.2%, Видео карта: [3.0], Оперативка: 30.4%, Использование диска: 31.5%
2024-11-08 18:54:35,848 - INFO - Процессор: 19.0%, Видео карта: [3.0], Оперативка: 30.7%, Использование диска: 31.5%
2024-11-08 18:54:42,961 - INFO - Процессор: 2.5%, Видео карта: [24.0], Оперативка: 30.1%, Использование диска: 31.5%
2024-11-08 18:54:50,064 - INFO - Процессор: 20.6%, Видео карта: [3.0], Оперативка: 22.9%, Использование диска: 31.5%
2024-11-08 18:54:57,169 - INFO - Процессор: 3.5%, Видео карта: [24.0], Оперативка: 22.7%, Использование диска: 31.5%
2024-11-08 18:55:04,281 - INFO - Процессор: 6.6%, Видео карта: [4.0], Оперативка: 22.7%, Использование диска: 31.5%
2024-11-08 18:55:11,383 - INFO - Процессор: 10.8%, Видео карта: [4.0], Оперативка: 22.9%, Использование диска: 31.5%
2024-11-08 18:55:18,485 - INFO - Процессор: 2.0%, Видео карта: [6.0], Оперативка: 22.7%, Использование диска: 31.5%
